Entity,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10,Property 11,Property 12,Property 13,Property 14,Property 15,Property 16,Property 17,Property 18,Property 19,Property 20,Property 21,Property 22,Property 23,Property 24,Property 25,Property 26,Property 27,Property 28,Property 29,Property 30,Property 31,Property 32,Property 33,Property 34,Property 35,Property 36,Property 37,Property 38,Property 39,Property 40,Property 41,Property 42,Property 43,Property 44,Property 45,Property 46,Property 47,Property 48
expertise,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agent,description_identifier,same_as,name,agent_id,relevant_link,is_part_of,date_deleted,contact,creator,platform,alternate_name,identifier,application_area,agent_identifier,date_published,research_area,keyword,ai_resource_id,falls_under_paradigm,note,aiod_entry_identifier,industrial_sector,description,aiod_entry,contacts,type,relevant_to,has_part,ai_resource_identifier,platform_resource_identifier,relevant_resource,media,scientific_domain,,,,,,,,,,,,,,,
location,identifier,event_identifier,contact_identifier,geo,address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset,description_identifier,measurement_technique,same_as,relevant_link,size_identifier,is_part_of,date_deleted,platform,alternate_name,application_area,date_published,issn,spatial_coverage_identifier,research_area,ai_resource_id,license_identifier,falls_under_paradigm,ai_asset_identifier,note,aiod_entry_identifier,industrial_sector,is_accessible_for_free,ai_asset_id,aiod_entry,contacts,temporal_coverage,has_part,relevant_to,ai_resource_identifier,platform_resource_identifier,license,relevant_resource,spatial_coverage,scientific_domain,,,,,,,,,,,,,,
service,description_identifier,same_as,relevant_link,is_part_of,date_deleted,creator,platform,alternate_name,application_area,date_published,research_area,ai_resource_id,slogan,falls_under_paradigm,terms_of_service,note,aiod_entry_identifier,industrial_sector,aiod_entry,contacts,relevant_to,has_part,ai_resource_identifier,platform_resource_identifier,relevant_resource,scientific_domain,,,,,,,,,,,,,,,,,,,,,,
project,description_identifier,same_as,relevant_link,is_part_of,date_deleted,coordinator_identifier,creator,platform,alternate_name,application_area,date_published,research_area,ai_resource_id,start_date,total_cost_euros,falls_under_paradigm,note,aiod_entry_identifier,industrial_sector,funding_link,aiod_entry,end_date,contacts,relevant_to,has_part,ai_resource_identifier,platform_resource_identifier,relevant_resource,scientific_domain,,,,,,,,,,,,,,,,,,,
event,description_identifier,registration_link,same_as,relevant_link,is_part_of,date_deleted,creator,platform,alternate_name,application_area,date_published,research_area,status_identifier,ai_resource_id,start_date,mode,status,falls_under_paradigm,organiser_identifier,note,content_identifier,aiod_entry_identifier,industrial_sector,aiod_entry,end_date,content,contacts,relevant_to,has_part,mode_identifier,ai_resource_identifier,platform_resource_identifier,relevant_resource,scientific_domain,,,,,,,,,,,,,,
organisation,description_identifier,same_as,legal_name,name,agent_id,relevant_link,parent,is_part_of,date_deleted,contact,creator,platform,alternate_name,identifier,date_published,number_of_employees,agent_identifier,application_area,research_area,type_identifier,keyword,ai_relevance,ai_resource_id,turnover_identifier,date_founded,falls_under_paradigm,note,aiod_entry_identifier,industrial_sector,parent_id,member,description,children,turnover,official,aiod_entry,number_of_employees_identifier,contacts,type,relevant_to,has_part,definition,ai_resource_identifier,platform_resource_identifier,contact_details,relevant_resource,media,scientific_domain
experiment,description_identifier,same_as,pid,relevant_link,is_part_of,date_deleted,platform,alternate_name,application_area,date_published,research_area,ai_resource_id,license_identifier,reproducibility_explanation,falls_under_paradigm,ai_asset_identifier,note,aiod_entry_identifier,industrial_sector,is_accessible_for_free,ai_asset_id,aiod_entry,execution_settings,contacts,relevant_to,has_part,experimental_workflow,ai_resource_identifier,platform_resource_identifier,license,relevant_resource,scientific_domain,,,,,,,,,,,,,,,,
language,definition,parent_id,name,children,parent,official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,content_url,binary_blob,name,encoding_format,description,checksum_algorithm,content_size_kb,platform_resource_identifier,copyright,platform,date_published,technology_readiness_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person,surname,description_identifier,expertise,same_as,agent_id,price_per_hour_euro,relevant_link,is_part_of,date_deleted,member_of,creator,platform,alternate_name,given_name,application_area,agent_identifier,date_published,research_area,languages,ai_resource_id,falls_under_paradigm,note,aiod_entry_identifier,industrial_sector,aiod_entry,contacts,relevant_to,has_part,ai_resource_identifier,platform_resource_identifier,contact_details,relevant_resource,scientific_domain,wants_to_be_contacted,,,,,,,,,,,,,,
publication,description_identifier,same_as,relevant_link,parent,is_part_of,date_deleted,platform,alternate_name,application_area,date_published,issn,research_area,type_identifier,ai_resource_id,license_identifier,falls_under_paradigm,ai_asset_identifier,note,content_identifier,aiod_entry_identifier,industrial_sector,parent_id,permanent_identifier,children,is_accessible_for_free,isbn,official,ai_asset_id,knowledge_asset_identifier,aiod_entry,content,contacts,type,relevant_to,has_part,definition,knowledge_asset_id,ai_resource_identifier,platform_resource_identifier,license,relevant_resource,scientific_domain,,,,,,
