Entity,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10,Property 11,Property 12,Property 13,Property 14,Property 15,Property 16,Property 17,Property 18,Property 19
computationalasset,applies,os,location,business_sector,kernel,licence,part_of,date_created,documented_in,sameas,pricing,pricing_scheme,,,,,,,
agent,location,business_sector,part_of,documented_in,sameas,contact_info,,,,,,,,,,,,,
aiodentry,entry_created,modified,relevant_link,entry_published,sameas,content,,,,,,,,,,,,,
airesource,location,business_sector,part_of,documented_in,sameas,,,,,,,,,,,,,,
distribution,has_computational_requirement,date_modified,relevant_link,identifier,sameas,,,,,,,,,,,,,,
mlmodel,applies,location,business_sector,licence,part_of,date_created,documented_in,training_status,sameas,pricing,,,,,,,,,
educationalresource,expected_outcome,business_sector,enrollment_start_date,part_of,under_classification,learning_mode,schedule,enrollment_end_date,start_date,taught_by,documented_in,offered_via,uses_resource,end_date,prerequisite_knowledge,cost,sameas,offered_by,qualification
location,street,longitude,region,city,latitude,relevant_link,sameas,elevation_m,postal_code,number,,,,,,,,,
runnabledistribution,compilation_time_msec,software_dependency,has_computational_requirement,execution_time_msec,compilation_process,other_dependency,date_modified,relevant_link,identifier,deployment_time_msec,sameas,deployment_process,,,,,,,
researcharea,relevant_link,sameas,,,,,,,,,,,,,,,,,
aiasset,applies,location,business_sector,licence,part_of,date_created,documented_in,sameas,pricing,,,,,,,,,,
aiodconcept,relevant_link,sameas,,,,,,,,,,,,,,,,,
experiment,applies,location,business_sector,licence,part_of,date_created,documented_in,sameas,pricing,uses_model,uses_dataset,exemplary_execution_settings,,,,,,,
event,event_mode,business_sector,duration,project,part_of,documented_in,sameas,event_status,,,,,,,,,,,
project,total_cost_euros,location,business_sector,part_of,documented_in,sameas,,,,,,,,,,,,,
knowledgeasset,applies,location,business_sector,licence,part_of,date_created,documented_in,sameas,pricing,,,,,,,,,,
dataset,applies,location,business_sector,pid,licence,part_of,date_created,documented_in,sameas,variable_measured,pricing,,,,,,,,
casestudy,produced,used,participant,total_cost_euros,location,coordinator,business_sector,part_of,documented_in,sameas,,,,,,,,,
service,prerequisites,service_status,service_category,location,provider,business_sector,conditions,use_case_example,part_of,documented_in,sameas,coverage,service_type,,,,,,
expertise,relevant_link,sameas,,,,,,,,,,,,,,,,,
person,location,business_sector,part_of,member_of,documented_in,languages,sameas,contact_info,,,,,,,,,,,
publication,applies,location,business_sector,has_isbn,licence,part_of,date_created,documented_in,sameas,has_issn,pricing,,,,,,,,
newscategory,relevant_link,sameas,,,,,,,,,,,,,,,,,
