Entity,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9
service,prerequisites,service type,service status,provider,support languages,conditions,service category,use case example,coverage
experiment,exemplary execution settings,uses dataset,reproducibility explanation,uses model,experimental workflow,,,,
agent,has platform account,contact info,,,,,,,
event,duration,start date,registration link,related asset,event mode,end date,project,event status,
person,member of,speak languages,,,,,,,
publication,pid,has issn,has isbn,,,,,,
organisation,organisation type,date founded,legal name,ai relevance,,,,,
location,latitude,region,elevation m,longitude,city,number,postal code,street,
dataset,pid,dataset type,spatial coverage,measurement technique,variable measured,temporal coverage,,,
distribution,date published,content url,has computational requiremnt,technology readiness level,encoding format,date created,checksum algorithm,content size kb,date motdified
project,total cost euros,project funder,,,,,,,
